SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
3668.933 -0.179 0.282 0.061 1783.763 42.235 1.000 0.158 
3210.979 -0.282 0.231 0.069 1721.606 41.492 1.000 0.158 
3151.997 -0.103 0.282 0.073 1869.873 43.242 1.000 0.158 
2975.748 -0.154 0.128 0.079 1992.066 44.633 1.000 0.158 
893.740 0.000 0.000 0.541 8883.339 94.251 0.979 0.537 
872.208 0.000 0.000 0.555 8883.339 94.251 0.979 0.537 
856.868 0.000 0.000 0.565 8883.339 94.251 0.979 0.537 
852.564 0.000 0.000 0.568 8884.249 94.256 0.979 0.505 
759.422 -0.974 0.795 0.376 2982.641 54.614 0.385 0.537 
737.013 -0.949 0.795 0.408 3310.103 57.533 0.385 0.537 
582.540 -0.974 0.897 0.377 1712.206 41.379 0.344 0.505 
722.579 -0.974 0.821 0.374 2653.055 51.508 0.385 0.537 
