SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
4128.650 -0.179 0.282 0.065 2606.019 51.049 1.000 0.158 
4022.130 -0.282 0.231 0.066 2524.881 50.248 1.000 0.158 
3949.438 -0.103 0.282 0.069 2728.465 52.235 1.000 0.158 
3850.964 -0.154 0.128 0.074 2928.360 54.114 1.000 0.158 
809.724 0.000 0.000 0.665 11051.794 105.128 0.979 0.537 
797.966 0.000 0.000 0.675 11051.794 105.128 0.979 0.537 
795.608 0.000 0.000 0.677 11051.794 105.128 0.979 0.537 
793.766 0.000 0.000 0.678 11054.007 105.138 0.979 0.505 
803.632 -0.974 0.795 0.370 3232.261 56.853 0.385 0.537 
777.180 -0.949 0.795 0.402 3590.007 59.917 0.385 0.537 
795.651 -0.974 0.897 0.288 1876.511 43.319 0.344 0.505 
758.367 -0.974 0.821 0.370 2869.350 53.566 0.385 0.537 
