SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut
1119551.283 0.500 0.500 0.000 11213.458 105.894 0.976 
1009.846 0.500 0.500 0.537 11213.458 105.894 0.976 
736.240 -1.000 0.846 0.347 2348.880 48.465 0.271 
17988.468 0.500 0.500 0.030 11213.458 105.894 0.976 
999.678 0.500 0.500 0.542 11213.458 105.894 0.976 
702.123 -1.000 0.846 0.361 2314.406 48.108 0.294 
15311.297 0.500 0.500 0.035 11213.458 105.894 0.976 
980.958 0.500 0.500 0.610 13706.702 117.076 0.953 
531.243 -1.000 0.910 0.376 1392.423 37.315 0.247 
13841.250 0.500 0.500 0.039 11213.458 105.894 0.976 
974.866 0.500 0.500 0.556 11213.458 105.894 0.976 
663.729 -1.000 0.859 0.369 2152.932 46.400 0.271 
