SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
3828.749 0.500 0.500 0.056 1605.954 40.074 1.000 0.175 
3407.522 0.500 0.500 0.064 1664.741 40.801 1.000 0.137 
3389.946 0.500 0.500 0.064 1664.741 40.801 1.000 0.137 
3252.028 0.500 0.500 0.067 1664.741 40.801 1.000 0.137 
926.998 0.500 0.500 0.538 9435.200 97.135 0.977 0.662 
913.988 0.500 0.500 0.545 9435.200 97.135 0.977 0.662 
899.892 0.500 0.500 0.554 9435.200 97.135 0.977 0.662 
898.535 0.500 0.500 0.555 9435.200 97.135 0.977 0.662 
680.671 -1.000 0.846 0.357 2120.008 46.044 0.328 0.587 
659.081 -1.000 0.846 0.369 2120.008 46.044 0.328 0.587 
505.937 -1.000 0.923 0.351 1082.539 32.902 0.293 0.587 
638.723 -1.000 0.846 0.381 2120.008 46.044 0.328 0.587 
