SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
18683.374 -0.900 0.900 0.015 2986.769 54.651 0.500 0.048 
15596.617 -0.900 0.900 0.018 2990.172 54.682 0.500 -0.045 
15445.112 -0.900 0.900 0.019 2990.172 54.682 0.500 -0.045 
14725.415 -0.900 0.900 0.019 2987.984 54.662 0.500 0.017 
2093.563 -1.100 0.850 0.115 2077.467 45.579 0.500 0.600 
2044.630 -1.100 0.850 0.118 2077.467 45.579 0.500 0.600 
1990.470 -1.100 0.850 0.121 2077.467 45.579 0.500 0.600 
1986.418 -1.100 0.850 0.121 2077.467 45.579 0.500 0.600 
718.742 -1.100 0.832 0.373 2610.992 51.098 0.326 0.700 
695.866 -1.100 0.842 0.377 2490.433 49.904 0.300 0.600 
533.531 -1.100 0.905 0.387 1497.517 38.698 0.300 0.600 
674.522 -1.100 0.853 0.375 2307.892 48.041 0.309 0.600 
