SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut
6363.706 0.500 0.500 0.077 9036.581 95.061 0.988 
5286.771 0.500 0.500 0.092 9036.581 95.061 0.988 
4988.948 0.500 0.500 0.098 9036.581 95.061 0.988 
4669.157 0.500 0.500 0.105 9036.581 95.061 0.988 
943.963 0.500 0.500 0.571 11091.697 105.317 0.977 
934.328 0.500 0.500 0.612 12488.097 111.750 0.965 
924.598 0.500 0.500 0.618 12488.097 111.750 0.965 
922.119 0.500 0.500 0.620 12488.097 111.750 0.965 
699.045 -1.000 0.846 0.365 2349.653 48.473 0.258 
676.554 -1.000 0.833 0.386 2472.708 49.726 0.304 
516.072 -1.000 0.910 0.384 1373.434 37.060 0.246 
655.345 -1.000 0.859 0.372 2134.748 46.203 0.270 
