SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
3897.425 -0.500 0.500 0.040 816.258 28.570 1.000 0.167 
3573.040 -0.500 0.500 0.044 830.192 28.813 1.000 0.149 
3658.069 -0.500 0.500 0.042 798.840 28.264 1.000 0.186 
3544.932 -0.500 0.500 0.044 830.192 28.813 1.000 0.149 
1001.991 -0.500 0.500 0.357 4753.847 68.948 0.977 0.627 
987.462 -0.500 0.500 0.362 4753.847 68.948 0.977 0.627 
969.581 -0.500 0.500 0.369 4753.847 68.948 0.977 0.627 
969.462 -0.500 0.500 0.369 4753.847 68.948 0.977 0.627 
680.425 -1.000 0.827 0.378 2384.544 48.832 0.328 0.627 
659.840 -1.000 0.857 0.360 2019.634 44.940 0.293 0.627 
506.018 -1.000 0.918 0.363 1162.879 34.101 0.293 0.627 
639.563 -1.000 0.857 0.371 2019.634 44.940 0.293 0.627 
