SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
3391.342 -0.500 0.510 0.054 1155.493 33.993 1.000 0.172 
3273.751 -0.500 0.500 0.057 1195.022 34.569 1.000 0.141 
3166.579 -0.500 0.500 0.059 1195.022 34.569 1.000 0.141 
3279.542 -0.500 0.500 0.057 1195.022 34.569 1.000 0.141 
1125.066 -0.500 0.500 0.368 6425.649 80.160 0.973 0.638 
1093.851 -0.500 0.500 0.378 6425.649 80.160 0.973 0.638 
1079.957 -0.500 0.500 0.383 6425.649 80.160 0.973 0.638 
1072.953 -0.500 0.500 0.385 6425.649 80.160 0.973 0.638 
735.813 -1.000 0.827 0.381 2870.650 53.578 0.308 0.638 
706.949 -1.000 0.847 0.378 2583.748 50.831 0.281 0.638 
710.172 -1.000 0.908 0.294 1540.377 39.248 0.295 0.607 
691.398 -1.000 0.847 0.386 2583.748 50.831 0.281 0.638 
