SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
3952.568 -0.500 0.500 0.037 720.297 26.838 1.000 0.167 
3821.373 -0.500 0.500 0.039 734.539 27.102 1.000 0.149 
3624.207 -0.500 0.500 0.040 702.248 26.500 1.000 0.186 
3768.489 -0.500 0.500 0.039 734.539 27.102 1.000 0.149 
974.268 -0.500 0.500 0.361 4594.557 67.783 0.977 0.627 
950.369 -0.500 0.500 0.370 4594.557 67.783 0.977 0.627 
942.900 -0.500 0.500 0.373 4594.557 67.783 0.977 0.627 
940.872 -0.500 0.500 0.374 4594.557 67.783 0.977 0.627 
680.591 -1.000 0.827 0.377 2382.850 48.814 0.328 0.627 
661.456 -1.000 0.857 0.359 2021.359 44.960 0.293 0.627 
659.620 -1.000 0.918 0.277 1151.231 33.930 0.293 0.627 
