SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
8144.881 -0.500 0.510 0.020 932.222 30.532 1.000 0.172 
7242.077 -0.500 0.500 0.023 967.037 31.097 1.000 0.141 
7022.780 -0.500 0.500 0.024 967.037 31.097 1.000 0.141 
7001.051 -0.500 0.500 0.024 967.037 31.097 1.000 0.141 
1006.736 -0.500 0.500 0.386 5662.864 75.252 0.973 0.638 
984.584 -0.500 0.500 0.395 5662.864 75.252 0.973 0.638 
977.269 -0.500 0.500 0.398 5662.864 75.252 0.973 0.638 
968.500 -0.500 0.500 0.402 5662.864 75.252 0.973 0.638 
727.464 -1.000 0.827 0.375 2702.679 51.987 0.308 0.638 
704.842 -1.000 0.847 0.368 2437.339 49.369 0.281 0.638 
706.514 -1.000 0.908 0.288 1456.119 38.159 0.295 0.607 
688.110 -1.000 0.847 0.377 2437.339 49.369 0.281 0.638 
