SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
4816.945 0.500 0.500 0.051 2200.310 46.907 1.000 0.175 
4636.872 0.500 0.500 0.054 2271.429 47.660 1.000 0.137 
4776.727 0.500 0.500 0.053 2271.429 47.660 1.000 0.137 
4693.313 0.500 0.500 0.054 2271.429 47.660 1.000 0.137 
879.915 0.500 0.500 0.627 11615.726 107.776 0.977 0.662 
867.638 0.500 0.500 0.636 11615.726 107.776 0.977 0.662 
865.139 0.500 0.500 0.637 11615.726 107.776 0.977 0.662 
865.859 0.500 0.500 0.637 11615.726 107.776 0.977 0.662 
736.766 -1.000 0.846 0.347 2352.805 48.506 0.328 0.587 
696.622 -1.000 0.846 0.367 2352.805 48.506 0.328 0.587 
721.536 -1.000 0.923 0.258 1204.828 34.711 0.293 0.587 
684.590 -1.000 0.846 0.373 2352.805 48.506 0.328 0.587 
SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
4816.945 0.500 0.500 0.051 2200.310 46.907 1.000 0.175 
4636.872 0.500 0.500 0.054 2271.429 47.660 1.000 0.137 
4776.727 0.500 0.500 0.053 2271.429 47.660 1.000 0.137 
4693.313 0.500 0.500 0.054 2271.429 47.660 1.000 0.137 
879.915 0.500 0.500 0.627 11615.726 107.776 0.977 0.662 
867.638 0.500 0.500 0.636 11615.726 107.776 0.977 0.662 
865.139 0.500 0.500 0.637 11615.726 107.776 0.977 0.662 
865.859 0.500 0.500 0.637 11615.726 107.776 0.977 0.662 
740.500 -1.000 0.846 0.347 2378.016 48.765 0.328 0.587 
700.153 -1.000 0.846 0.367 2378.016 48.765 0.328 0.587 
721.295 -1.000 0.923 0.258 1203.961 34.698 0.293 0.587 
688.059 -1.000 0.846 0.373 2378.016 48.765 0.328 0.587 
SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
4816.945 0.500 0.500 0.051 2200.310 46.907 1.000 0.175 
4636.872 0.500 0.500 0.054 2271.429 47.660 1.000 0.137 
4776.727 0.500 0.500 0.053 2271.429 47.660 1.000 0.137 
4693.313 0.500 0.500 0.054 2271.429 47.660 1.000 0.137 
879.915 0.500 0.500 0.627 11615.726 107.776 0.977 0.662 
867.638 0.500 0.500 0.636 11615.726 107.776 0.977 0.662 
865.139 0.500 0.500 0.637 11615.726 107.776 0.977 0.662 
865.859 0.500 0.500 0.637 11615.726 107.776 0.977 0.662 
737.544 -1.000 0.846 0.347 2358.048 48.560 0.328 0.587 
697.358 -1.000 0.846 0.367 2358.048 48.560 0.328 0.587 
719.849 -1.000 0.923 0.258 1198.764 34.623 0.293 0.587 
685.313 -1.000 0.846 0.373 2358.048 48.560 0.328 0.587 
