SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
7779.927 0.500 0.500 0.026 1410.853 37.561 1.000 0.175 
6980.442 0.500 0.500 0.029 1473.272 38.383 1.000 0.137 
6677.177 0.500 0.500 0.031 1473.272 38.383 1.000 0.137 
6577.482 0.500 0.500 0.031 1473.272 38.383 1.000 0.137 
857.674 0.500 0.500 0.569 9041.189 95.085 0.977 0.662 
839.955 0.500 0.500 0.581 9041.189 95.085 0.977 0.662 
828.453 0.500 0.500 0.589 9041.189 95.085 0.977 0.662 
826.006 0.500 0.500 0.591 9041.189 95.085 0.977 0.662 
687.320 -1.000 0.846 0.353 2118.201 46.024 0.328 0.587 
663.429 -1.000 0.846 0.366 2118.201 46.024 0.328 0.587 
680.981 -1.000 0.923 0.260 1078.539 32.841 0.293 0.587 
649.230 -1.000 0.846 0.374 2118.201 46.024 0.328 0.587 
SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
7779.927 0.500 0.500 0.026 1410.853 37.561 1.000 0.175 
6980.442 0.500 0.500 0.029 1473.272 38.383 1.000 0.137 
6677.177 0.500 0.500 0.031 1473.272 38.383 1.000 0.137 
6577.482 0.500 0.500 0.031 1473.272 38.383 1.000 0.137 
857.674 0.500 0.500 0.569 9041.189 95.085 0.977 0.662 
839.955 0.500 0.500 0.581 9041.189 95.085 0.977 0.662 
828.453 0.500 0.500 0.589 9041.189 95.085 0.977 0.662 
826.006 0.500 0.500 0.591 9041.189 95.085 0.977 0.662 
687.790 -1.000 0.846 0.353 2121.268 46.057 0.328 0.587 
663.883 -1.000 0.846 0.366 2121.268 46.057 0.328 0.587 
681.737 -1.000 0.923 0.260 1081.131 32.881 0.293 0.587 
649.674 -1.000 0.846 0.374 2121.268 46.057 0.328 0.587 
