SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
18652.878 -0.900 0.900 0.015 2976.560 54.558 0.500 0.048 
15569.369 -0.900 0.900 0.018 2979.234 54.582 0.500 -0.045 
15418.128 -0.900 0.900 0.019 2979.234 54.582 0.500 -0.045 
14701.388 -0.900 0.900 0.019 2977.776 54.569 0.500 0.017 
2084.745 -1.100 0.850 0.115 2058.994 45.376 0.500 0.700 
2036.019 -1.100 0.850 0.118 2058.994 45.376 0.500 0.700 
1982.087 -1.100 0.850 0.121 2058.994 45.376 0.500 0.700 
1978.052 -1.100 0.850 0.121 2058.994 45.376 0.500 0.700 
720.120 -1.100 0.842 0.362 2456.647 49.565 0.326 0.700 
697.048 -1.100 0.842 0.374 2456.647 49.565 0.326 0.700 
532.501 -1.100 0.916 0.366 1324.455 36.393 0.300 0.700 
675.834 -1.100 0.853 0.373 2284.314 47.795 0.326 0.700 
