SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
12963.885 -0.900 0.900 0.023 3218.370 56.731 0.500 0.048 
11474.202 -0.900 0.900 0.026 3222.891 56.771 0.500 -0.045 
10743.641 -0.900 0.900 0.028 3222.891 56.771 0.500 -0.045 
10449.280 -0.900 0.900 0.028 3220.368 56.748 0.500 0.017 
2172.751 -1.100 0.850 0.115 2230.508 47.228 0.500 0.700 
2072.507 -1.100 0.850 0.120 2230.508 47.228 0.500 0.700 
2026.279 -1.100 0.850 0.123 2230.508 47.228 0.500 0.700 
1978.138 -1.100 0.850 0.126 2230.508 47.228 0.500 0.700 
737.620 -1.100 0.842 0.363 2605.563 51.045 0.326 0.700 
709.191 -1.100 0.842 0.378 2605.563 51.045 0.326 0.700 
717.185 -1.100 0.916 0.280 1410.120 37.552 0.300 0.700 
694.787 -1.100 0.853 0.373 2428.365 49.278 0.326 0.700 
