SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
30352.161 -1.100 0.900 0.007 1502.268 38.759 0.500 0.200 
27042.555 -1.100 0.900 0.008 1502.268 38.759 0.500 0.200 
24546.957 -1.100 0.900 0.008 1502.268 38.759 0.500 0.200 
23903.224 -1.100 0.900 0.009 1502.268 38.759 0.500 0.200 
2065.114 -1.100 0.850 0.118 2143.178 46.294 0.500 0.700 
2032.512 -1.100 0.850 0.120 2143.178 46.294 0.500 0.700 
1985.897 -1.100 0.850 0.123 2143.178 46.294 0.500 0.700 
1978.473 -1.100 0.850 0.123 2143.178 46.294 0.500 0.700 
730.576 -1.000 0.844 0.359 2494.978 49.950 0.331 0.700 
708.946 -1.000 0.844 0.372 2511.857 50.118 0.321 0.700 
688.727 -1.000 0.889 0.328 1812.959 42.579 0.300 0.700 
