SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
35194.795 -0.900 0.900 0.008 2985.879 54.643 0.500 0.048 
28255.783 -0.900 0.900 0.010 2989.986 54.681 0.500 -0.045 
27064.802 -0.900 0.900 0.011 2989.986 54.681 0.500 -0.045 
24577.345 -0.900 0.900 0.012 2987.646 54.659 0.500 0.017 
2075.876 -1.100 0.850 0.116 2075.578 45.559 0.500 0.700 
1994.066 -1.100 0.850 0.121 2075.578 45.559 0.500 0.700 
1962.558 -1.100 0.850 0.123 2075.578 45.559 0.500 0.700 
1952.833 -1.100 0.850 0.123 2075.578 45.559 0.500 0.700 
730.811 -1.100 0.842 0.356 2448.228 49.480 0.326 0.700 
704.690 -1.100 0.842 0.369 2448.228 49.480 0.326 0.700 
711.486 -1.100 0.916 0.273 1320.011 36.332 0.300 0.700 
688.396 -1.100 0.853 0.365 2278.164 47.730 0.326 0.700 
