SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
9194.000 -0.900 0.900 0.033 3427.920 58.548 0.500 0.048 
8763.657 -0.900 0.900 0.035 3431.795 58.582 0.500 -0.045 
8850.097 -0.900 0.900 0.035 3431.795 58.582 0.500 -0.045 
8842.480 -0.900 0.900 0.035 3429.780 58.564 0.500 0.017 
2172.480 -1.100 0.850 0.118 2368.935 48.672 0.500 0.700 
2124.852 -1.100 0.850 0.121 2368.935 48.672 0.500 0.700 
2005.830 -1.100 0.850 0.128 2368.935 48.672 0.500 0.700 
2025.133 -1.100 0.850 0.127 2368.935 48.672 0.500 0.700 
783.576 -1.100 0.842 0.352 2761.061 52.546 0.326 0.700 
742.049 -1.100 0.842 0.371 2761.061 52.546 0.326 0.700 
756.047 -1.100 0.916 0.272 1481.753 38.494 0.300 0.700 
729.384 -1.100 0.853 0.365 2566.987 50.665 0.326 0.700 
