SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
63665.634 -1.100 0.900 0.003 1515.530 38.930 0.500 0.200 
54926.206 -1.100 0.900 0.004 1515.530 38.930 0.500 0.200 
49026.668 -1.100 0.900 0.004 1515.530 38.930 0.500 0.200 
47385.837 -1.100 0.900 0.004 1515.530 38.930 0.500 0.200 
2009.222 -1.100 0.850 0.121 2138.185 46.241 0.500 0.700 
2000.330 -1.100 0.850 0.122 2138.185 46.241 0.500 0.700 
1949.821 -1.100 0.850 0.125 2138.185 46.241 0.500 0.700 
1969.087 -1.100 0.850 0.124 2138.185 46.241 0.500 0.700 
738.576 -1.000 0.844 0.356 2495.315 49.953 0.331 0.700 
713.096 -1.000 0.844 0.369 2511.910 50.119 0.321 0.700 
708.784 -1.000 0.889 0.319 1813.692 42.587 0.300 0.700 
698.123 -1.000 0.844 0.377 2511.910 50.119 0.321 0.700 
