SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
16962.799 -0.900 0.900 0.015 2431.368 49.309 0.750 0.048 
14158.944 -0.900 0.900 0.018 2434.771 49.343 0.750 -0.045 
14036.422 -0.900 0.900 0.018 2434.771 49.343 0.750 -0.045 
13402.729 -0.900 0.900 0.019 2433.313 49.329 0.750 0.017 
1931.263 -1.100 0.850 0.113 1676.655 40.947 0.750 0.700 
1900.142 -1.100 0.850 0.115 1676.655 40.947 0.750 0.700 
1843.450 -1.100 0.850 0.118 1676.655 40.947 0.750 0.700 
1839.581 -1.100 0.850 0.118 1676.655 40.947 0.750 0.700 
716.719 -1.100 0.832 0.373 2590.332 50.895 0.326 0.700 
694.181 -1.100 0.832 0.387 2619.257 51.179 0.309 0.700 
536.880 -1.100 0.895 0.402 1647.730 40.592 0.318 0.600 
679.464 -1.100 0.884 0.332 1811.312 42.560 0.318 0.600 
