SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
11948.420 -0.900 0.900 0.023 2702.546 51.986 0.750 0.048 
10576.553 -0.900 0.900 0.026 2705.910 52.018 0.750 -0.045 
9910.180 -0.900 0.900 0.028 2705.910 52.018 0.750 -0.045 
9630.369 -0.900 0.900 0.028 2703.913 51.999 0.750 0.017 
2030.732 -1.100 0.850 0.112 1851.512 43.029 0.750 0.700 
1944.913 -1.100 0.850 0.117 1851.512 43.029 0.750 0.700 
1904.056 -1.100 0.850 0.120 1851.512 43.029 0.750 0.700 
1862.744 -1.100 0.850 0.122 1851.512 43.029 0.750 0.700 
739.724 -1.100 0.832 0.374 2781.920 52.744 0.326 0.700 
709.766 -1.100 0.832 0.391 2810.305 53.012 0.309 0.700 
704.697 -1.100 0.895 0.314 1740.178 41.715 0.318 0.600 
695.075 -1.100 0.884 0.334 1927.416 43.902 0.318 0.600 
