SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
18412.647 -0.900 0.900 0.014 2502.410 50.024 0.750 0.048 
16003.434 -0.900 0.900 0.016 2507.192 50.072 0.750 -0.045 
15034.034 -0.900 0.900 0.018 2507.192 50.072 0.750 -0.045 
14732.255 -0.900 0.900 0.018 2504.860 50.049 0.750 0.017 
1911.912 -1.100 0.850 0.116 1732.361 41.622 0.750 0.700 
1883.606 -1.100 0.850 0.117 1732.361 41.622 0.750 0.700 
1841.839 -1.100 0.850 0.120 1732.361 41.622 0.750 0.700 
1836.457 -1.100 0.850 0.120 1732.361 41.622 0.750 0.700 
731.679 -1.100 0.832 0.373 2703.055 51.991 0.326 0.700 
711.248 -1.100 0.832 0.386 2735.665 52.304 0.309 0.700 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
693.762 -1.100 0.895 0.316 1704.810 41.289 0.318 0.600 
