SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
31991.366 -0.900 0.900 0.008 2443.404 49.431 0.750 0.048 
25711.420 -0.900 0.900 0.010 2446.939 49.467 0.750 -0.045 
24634.739 -0.900 0.900 0.011 2446.939 49.467 0.750 -0.045 
22451.935 -0.900 0.900 0.012 2445.267 49.450 0.750 0.017 
1912.717 -1.100 0.850 0.113 1667.206 40.831 0.750 0.700 
1837.334 -1.100 0.850 0.118 1667.206 40.831 0.750 0.700 
1808.094 -1.100 0.850 0.120 1667.206 40.831 0.750 0.700 
1801.944 -1.100 0.850 0.120 1667.206 40.831 0.750 0.700 
726.418 -1.100 0.832 0.367 2582.092 50.814 0.326 0.700 
701.903 -1.100 0.832 0.382 2610.364 51.092 0.309 0.700 
696.873 -1.100 0.895 0.308 1623.794 40.296 0.318 0.600 
688.690 -1.100 0.884 0.326 1793.954 42.355 0.318 0.600 
