SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
8509.365 -0.900 0.900 0.033 2902.587 53.876 0.750 0.048 
8097.145 -0.900 0.900 0.035 2906.410 53.911 0.750 -0.045 
8187.152 -0.900 0.900 0.034 2906.410 53.911 0.750 -0.045 
8181.385 -0.900 0.900 0.034 2904.344 53.892 0.750 0.017 
2019.665 -1.100 0.850 0.116 1951.437 44.175 0.750 0.700 
1976.910 -1.100 0.850 0.118 1951.437 44.175 0.750 0.700 
1866.787 -1.100 0.850 0.125 1951.437 44.175 0.750 0.700 
1888.718 -1.100 0.850 0.124 1951.437 44.175 0.750 0.700 
778.852 -1.100 0.832 0.363 2910.751 53.951 0.326 0.700 
740.489 -1.100 0.832 0.383 2940.358 54.225 0.309 0.700 
743.688 -1.100 0.895 0.305 1832.699 42.810 0.318 0.600 
728.623 -1.100 0.884 0.326 2021.141 44.957 0.318 0.600 
