SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
38307.569 -0.900 0.900 0.007 2499.552 49.996 0.750 0.048 
32985.397 -0.900 0.900 0.008 2504.899 50.049 0.750 -0.045 
29858.657 -0.900 0.900 0.009 2504.899 50.049 0.750 -0.045 
29771.873 -0.900 0.900 0.009 2501.469 50.015 0.750 0.017 
1849.202 -1.100 0.850 0.119 1727.638 41.565 0.750 0.700 
1841.957 -1.100 0.850 0.120 1727.638 41.565 0.750 0.700 
1801.853 -1.100 0.850 0.122 1727.638 41.565 0.750 0.700 
1822.998 -1.100 0.850 0.121 1727.638 41.565 0.750 0.700 
738.201 -1.100 0.832 0.370 2709.542 52.053 0.326 0.700 
714.832 -1.100 0.832 0.384 2741.219 52.357 0.309 0.700 
711.723 -1.100 0.895 0.308 1698.886 41.218 0.318 0.600 
704.783 -1.100 0.884 0.326 1879.771 43.356 0.318 0.600 
