SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
16926.536 -0.900 0.900 0.015 2420.430 49.198 0.750 0.048 
14126.026 -0.900 0.900 0.018 2422.861 49.223 0.750 -0.045 
14003.789 -0.900 0.900 0.018 2422.861 49.223 0.750 -0.045 
13372.188 -0.900 0.900 0.019 2421.646 49.210 0.750 0.017 
1931.000 -1.100 0.850 0.113 1676.169 40.941 0.750 0.700 
1899.884 -1.100 0.850 0.115 1676.169 40.941 0.750 0.700 
1843.199 -1.100 0.850 0.118 1676.169 40.941 0.750 0.700 
1839.330 -1.100 0.850 0.118 1676.169 40.941 0.750 0.700 
715.744 -1.100 0.832 0.373 2588.144 50.874 0.326 0.700 
693.280 -1.100 0.832 0.388 2618.770 51.174 0.309 0.700 
528.728 -1.100 0.895 0.403 1600.333 40.004 0.318 0.600 
672.487 -1.100 0.884 0.332 1769.262 42.063 0.318 0.600 
