indexSample	 ExpSigEvts	 ExpBkgEvts	 UpperLimit_gZ^4
0.00000e+00 5.40000e+01 1.78400e+03 9.02515e-07
1.00000e+00 5.30000e+01 1.72200e+03 1.12147e-06
2.00000e+00 5.60000e+01 1.87000e+03 1.68019e-06
3.00000e+00 5.70000e+01 1.99200e+03 2.86365e-06
4.00000e+00 1.21000e+02 8.88300e+03 2.25164e-07
5.00000e+00 1.21000e+02 8.88300e+03 3.17776e-07
6.00000e+00 1.21000e+02 8.88300e+03 5.11620e-07
7.00000e+00 1.21000e+02 8.88400e+03 9.78785e-07
8.00000e+00 7.00000e+01 2.98300e+03 1.65974e-07
9.00000e+00 7.40000e+01 3.31000e+03 3.04211e-07
1.00000e+01 5.30000e+01 1.71200e+03 4.58888e-07
1.10000e+01 6.60000e+01 2.65300e+03 1.21320e-06
