SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
2568.795 -0.179 0.282 0.101 2433.699 49.333 1.000 0.158 
2461.848 -0.282 0.231 0.104 2349.299 48.470 1.000 0.158 
2351.172 -0.103 0.282 0.113 2562.697 50.623 1.000 0.158 
2331.764 -0.154 0.128 0.117 2722.866 52.181 1.000 0.158 
915.634 0.000 0.000 0.570 10384.103 101.902 0.979 0.537 
889.025 0.000 0.000 0.587 10384.103 101.902 0.979 0.537 
884.319 0.000 0.000 0.590 10384.103 101.902 0.979 0.537 
881.445 0.000 0.000 0.592 10385.541 101.909 0.979 0.505 
785.836 -0.974 0.795 0.377 3206.728 56.628 0.385 0.537 
759.236 -0.949 0.795 0.409 3547.686 59.562 0.385 0.537 
761.476 -0.974 0.897 0.296 1811.248 42.559 0.344 0.505 
744.214 -0.974 0.821 0.375 2844.191 53.331 0.385 0.537 
