SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
3908.924 -0.179 0.282 0.054 1599.210 39.990 1.000 0.158 
3405.823 -0.282 0.231 0.061 1536.481 39.198 1.000 0.158 
3259.353 -0.103 0.282 0.067 1682.524 41.019 1.000 0.158 
3214.456 -0.154 0.128 0.070 1794.418 42.361 1.000 0.158 
877.119 0.000 0.000 0.546 8709.310 93.324 0.979 0.537 
850.352 0.000 0.000 0.564 8709.310 93.324 0.979 0.537 
844.046 0.000 0.000 0.568 8709.310 93.324 0.979 0.537 
837.016 0.000 0.000 0.573 8709.795 93.326 0.979 0.505 
747.519 -0.974 0.795 0.377 2887.926 53.739 0.385 0.537 
733.309 -0.949 0.795 0.404 3210.529 56.662 0.385 0.537 
4170.158 -0.974 0.897 0.291 1665.813 40.814 0.344 0.505 
705.810 -0.974 0.821 0.377 2567.987 50.675 0.385 0.537 
