SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
6709.769 -0.179 0.282 0.034 1879.495 43.353 1.000 0.158 
5616.343 -0.282 0.231 0.040 1815.581 42.610 1.000 0.158 
5268.204 -0.103 0.282 0.044 1963.384 44.310 1.000 0.158 
5079.280 -0.154 0.128 0.048 2092.212 45.741 1.000 0.158 
821.117 0.000 0.000 0.598 9150.806 95.660 0.979 0.537 
805.335 0.000 0.000 0.610 9150.806 95.660 0.979 0.537 
794.061 0.000 0.000 0.618 9150.806 95.660 0.979 0.537 
788.378 0.000 0.000 0.623 9150.806 95.660 0.979 0.505 
773.578 -0.974 0.795 0.373 3034.956 55.090 0.385 0.537 
762.324 -0.949 0.795 0.398 3373.505 58.082 0.385 0.537 
747.450 -0.974 0.897 0.293 1693.743 41.155 0.344 0.505 
732.690 -0.974 0.821 0.371 2677.432 51.744 0.385 0.537 
