SigStrength	NegCosCut	PosCosCut	bestEff	BkgExpect	BkgError	CVNCut	BDTCut
7691.328 -0.179 0.282 0.027 1576.749 39.708 1.000 0.158 
6488.920 -0.282 0.231 0.032 1514.888 38.922 1.000 0.158 
6212.193 -0.103 0.282 0.035 1656.354 40.698 1.000 0.158 
5915.644 -0.154 0.128 0.038 1766.170 42.026 1.000 0.158 
798.087 0.000 0.000 0.597 8608.341 92.781 0.979 0.537 
777.954 0.000 0.000 0.613 8608.341 92.781 0.979 0.537 
769.848 0.000 0.000 0.619 8608.341 92.781 0.979 0.537 
767.315 0.000 0.000 0.621 8608.341 92.781 0.979 0.505 
760.821 -0.974 0.795 0.372 2913.725 53.979 0.385 0.537 
739.522 -0.949 0.795 0.402 3233.103 56.860 0.385 0.537 
732.564 -0.974 0.897 0.291 1606.481 40.081 0.344 0.505 
719.933 -0.974 0.821 0.371 2588.593 50.878 0.385 0.537 
